Tími,Ráðuneyti,Rasto,Stofnun,Gjöld - sértekjur,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label
2012,Æðsta stjórn ríkisins,101,Embætti forseta Íslands,193619674,01,Stjórnsýslan sjálf,01.1,Stjórnsýslan sjálf,01.1.1,Framkvæmda- og löggjafarvald
2012,Æðsta stjórn ríkisins,201,Alþingi,2571860711,01,Stjórnsýslan sjálf,01.1,Stjórnsýslan sjálf,01.1.1,Framkvæmda- og löggjafarvald
2012,Æðsta stjórn ríkisins,205,Framkvæmdir á Alþingisreit,37414217,01,Stjórnsýslan sjálf,01.6,Ýmis verkefni,01.6.0,Ýmis verkefni
2012,Æðsta stjórn ríkisins,290,Stjórnlagaþing,8643822,01,Stjórnsýslan sjálf,01.1,Stjórnsýslan sjálf,01.1.1,Framkvæmda- og löggjafarvald
2012,Æðsta stjórn ríkisins,291,Rannsóknarnefndir Alþingis,381267331,01,Stjórnsýslan sjálf,01.5,Rannsóknir,01.5.0,Rannsóknir
2012,Æðsta stjórn ríkisins,295,Saksóknari Alþingis,17833961,03,Lög og regla,03.3,Dómstólar,03.3.0,Dómstólar
2012,Æðsta stjórn ríkisins,301,Ríkisstjórn,253062313,01,Stjórnsýslan sjálf,01.1,Stjórnsýslan sjálf,01.1.1,Framkvæmda- og löggjafarvald
2012,Æðsta stjórn ríkisins,401,Hæstiréttur,238561547,03,Lög og regla,03.3,Dómstólar,03.3.0,Dómstólar
2012,Æðsta stjórn ríkisins,610,Umboðsmaður Alþingis,142513893,01,Stjórnsýslan sjálf,01.3,Almenn þjónusta,01.3.3,Ýmis þjónusta
2012,Æðsta stjórn ríkisins,620,Ríkisendurskoðun,459754321,01,Stjórnsýslan sjálf,01.1,Stjórnsýslan sjálf,01.1.2,Fjármál
2012,Forsætisráðuneyti,1101,"Forsætisráðuneyti, aðalskrifstofa",337597963,01,Stjórnsýslan sjálf,01.1,Stjórnsýslan sjálf,01.1.1,Framkvæmda- og löggjafarvald
2012,Forsætisráðuneyti,1190,Ýmis verkefni,155838280,01,Stjórnsýslan sjálf,01.6,Ýmis verkefni,01.6.0,Ýmis verkefni
2012,Forsætisráðuneyti,1201,Fasteignir forsætisráðuneytis,80003530,01,Stjórnsýslan sjálf,01.3,Almenn þjónusta,01.3.3,Ýmis þjónusta
2012,Forsætisráðuneyti,1203,Fasteignir Stjórnarráðsins,28413592,01,Stjórnsýslan sjálf,01.3,Almenn þjónusta,01.3.3,Ýmis þjónusta
2012,Forsætisráðuneyti,1241,Umboðsmaður barna,41778022,10,Aðstoð fyrir aðra,10.4,Fjölskyldur,10.4.0,Fjölskyldur
2012,Forsætisráðuneyti,1253,Vest-norrænt menningarhús í Kaupmannahöfn,11934000,08,Menning og listir,08.2,Menning,08.2.0,Menning
2012,Forsætisráðuneyti,1261,Óbyggðanefnd,40472900,05,Umhverfið,05.6,Umhverfisþjónusta,05.6.0,Umhverfissþjónusta
2012,Forsætisráðuneyti,1271,Ríkislögmaður,66031417,03,Lög og regla,03.3,Dómstólar,03.3.0,Dómstólar
2012,Forsætisráðuneyti,1281,Atvinnuuppbygging og fjölgun vistvænna starfa,1500000,04,Hagkerfið,04.1,Hagkerfið,04.1.2,Atvinna
2012,Forsætisráðuneyti,1902,Þjóðgarðurinn á Þingvöllum,128758392,08,Menning og listir,08.2,Menning,08.2.0,Menning
2012,Mennta- og menningarmálaráðuneyti,2101,"Mennta- og menningarmálaráðuneyti, aðalskrifstofa",853659930,01,Stjórnsýslan sjálf,01.1,Stjórnsýslan sjálf,01.1.1,Framkvæmda- og löggjafarvald
2012,Mennta- og menningarmálaráðuneyti,2201,Háskóli Íslands,10867203212,09,Menntun,09.4,Háskólar,09.4.2,Háskólar
2012,Mennta- og menningarmálaráðuneyti,2202,Tilraunastöð Háskólans að Keldum,207439372,09,Menntun,09.4,Háskólar,09.4.2,Háskólar
2012,Mennta- og menningarmálaráðuneyti,2203,Raunvísindastofnun Háskólans,368964386,09,Menntun,09.4,Háskólar,09.4.2,Háskólar
2012,Mennta- og menningarmálaráðuneyti,2209,Stofnun Árna Magnússonar í íslenskum fræðum,290302761,09,Menntun,09.4,Háskólar,09.4.2,Háskólar
2012,Mennta- og menningarmálaráðuneyti,2210,Háskólinn á Akureyri,1412984493,09,Menntun,09.4,Háskólar,09.4.2,Háskólar
2012,Mennta- og menningarmálaráðuneyti,2216,Landbúnaðarháskóli Íslands,650559555,09,Menntun,09.4,Háskólar,09.4.2,Háskólar
2012,Mennta- og menningarmálaráðuneyti,2217,Hólaskóli - Háskólinn á Hólum,352680479,09,Menntun,09.4,Háskólar,09.4.2,Háskólar
2012,Mennta- og menningarmálaráðuneyti,2223,Námsmatsstofnun,118492832,09,Menntun,09.6,Þjónusta við menntun,09.6.0,Þjónusta við menntun
2012,Mennta- og menningarmálaráðuneyti,2225,Háskólinn á Bifröst,324900000,09,Menntun,09.4,Háskólar,09.4.2,Háskólar
2012,Mennta- og menningarmálaráðuneyti,2227,Háskólinn í Reykjavík,2039300000,09,Menntun,09.4,Háskólar,09.4.2,Háskólar
2012,Mennta- og menningarmálaráðuneyti,2228,Listaháskóli Íslands,702400000,09,Menntun,09.4,Háskólar,09.4.2,Háskólar
2012,Mennta- og menningarmálaráðuneyti,2231,Rannsóknamiðstöð Íslands,249860557,09,Menntun,09.7,Rannsóknir,09.7.0,Rannsóknir
2012,Mennta- og menningarmálaráðuneyti,2235,Markáætlun á sviði vísinda og tækni,83527582,09,Menntun,09.6,Þjónusta við menntun,09.6.0,Þjónusta við menntun
2012,Mennta- og menningarmálaráðuneyti,2236,Rannsóknasjóður,758496955,09,Menntun,09.6,Þjónusta við menntun,09.6.0,Þjónusta við menntun
2012,Mennta- og menningarmálaráðuneyti,2238,Tækjasjóður,211251757,09,Menntun,09.6,Þjónusta við menntun,09.6.0,Þjónusta við menntun
2012,Mennta- og menningarmálaráðuneyti,2239,Rannsóknarnámssjóður,92143301,09,Menntun,09.6,Þjónusta við menntun,09.6.0,Þjónusta við menntun
2012,Mennta- og menningarmálaráðuneyti,2269,"Háskóla- og vísindastofnanir, viðhald og stofnkostnaður",91561835,09,Menntun,09.4,Háskólar,09.4.2,Háskólar
2012,Mennta- og menningarmálaráðuneyti,2299,Háskóla- og rannsóknastarfsemi,483734533,09,Menntun,09.4,Háskólar,09.4.2,Háskólar
2012,Mennta- og menningarmálaráðuneyti,2301,Menntaskólinn í Reykjavík,548237843,09,Menntun,09.2,Framhaldsskólar,09.2.2,Framhaldsskólar
2012,Mennta- og menningarmálaráðuneyti,2302,Menntaskólinn á Akureyri,560052272,09,Menntun,09.2,Framhaldsskólar,09.2.2,Framhaldsskólar
2012,Mennta- og menningarmálaráðuneyti,2303,Menntaskólinn að Laugarvatni,180917867,09,Menntun,09.2,Framhaldsskólar,09.2.2,Framhaldsskólar
2012,Mennta- og menningarmálaráðuneyti,2304,Menntaskólinn við Hamrahlíð,945622739,09,Menntun,09.2,Framhaldsskólar,09.2.2,Framhaldsskólar
2012,Mennta- og menningarmálaráðuneyti,2305,Menntaskólinn við Sund,489161038,09,Menntun,09.2,Framhaldsskólar,09.2.2,Framhaldsskólar
2012,Mennta- og menningarmálaráðuneyti,2306,Menntaskólinn á Ísafirði,276170391,09,Menntun,09.2,Framhaldsskólar,09.2.2,Framhaldsskólar
